action_id,security_id,ticker,action_type,announcement_date,effective_date,status,details,cash_amount,ratio,currency,processed
CA001,SEC001,AAPL,Stock Split,2024-01-02,2024-02-01,Pending,4-for-1 stock split,,4.0,USD,No
CA002,SEC002,MSFT,Dividend,2024-01-05,2024-02-15,Processed,Quarterly dividend,0.75,,USD,Yes
CA003,SEC003,SHEL,Dividend,2024-01-08,2024-02-10,Pending,Annual dividend,54.00,,GBP,No
CA004,SEC013,NVDA,Stock Split,2024-01-10,2024-03-01,Pending,10-for-1 stock split,,10.0,USD,No
CA005,SEC014,BP,Dividend,2024-01-03,2024-02-08,Processed,Quarterly dividend,6.00,,GBP,Yes
CA006,SEC018,META,Dividend,2024-01-12,2024-02-20,Pending,First ever dividend,0.50,,USD,No
CA007,SEC019,HSBA,Rights Issue,2024-01-06,2024-02-28,Pending,Rights issue at discount,,0.25,GBP,No
CA008,SEC004,VOW3,Dividend,2023-12-15,2024-01-30,Processed,Annual dividend,8.70,,EUR,Yes
CA009,SEC021,GOOGL,Stock Split,2024-01-11,2024-03-15,Pending,20-for-1 split,,20.0,USD,No
CA010,SEC024,NESN,Dividend,2024-01-09,2024-02-12,Pending,Annual dividend,2.70,,CHF,No
CA011,SEC007,7203,Dividend,2024-01-04,2024-02-25,Processed,Interim dividend,25.00,,JPY,Yes
CA012,SEC009,TSLA,Unknown,2024-01-13,,Pending,Corporate restructure,,,USD,No
CA013,SEC015,,Maturity,2024-01-01,2026-09-15,Pending,Bond maturity at par,100.00,,GBP,No
CA014,SEC011,AMZN,Dividend,2024-01-14,2024-02-18,Pending,First dividend payment,0.00,,USD,No
CA015,SEC016,6758,Stock Split,2024-01-07,2024-03-10,Pending,5-for-1 stock split,,5.0,JPY,No
