spend_id,production_id,vendor_id,spend_gbp,spend_category,month
S001,P001,V001,12000000,Studio Hire,2024-01
S002,P001,V003,8500000,VFX,2024-02
S003,P001,V005,5200000,Studio Hire,2024-02
S004,P002,V002,18000000,Studio Hire,2024-01
S005,P002,V004,22000000,VFX,2024-02
S006,P002,V003,9500000,VFX,2024-03
S007,P003,V006,9500000,Studio Hire,2024-04
S008,P003,V007,4200000,Post Production,2024-05
S009,P004,V009,8800000,Location Services,2024-05
S010,P004,V009,6200000,Location Services,2024-06
S011,P005,V010,6500000,Studio Hire,2024-07
S012,P005,V010,4100000,Studio Hire,2024-08
S013,P006,V001,15000000,Studio Hire,2024-08
S014,P006,V003,12000000,VFX,2024-09
S015,P006,V004,8000000,VFX,2024-09
S016,P007,V006,14000000,Studio Hire,2024-11
S017,P007,V007,6500000,Post Production,2024-12
S018,P008,V008,8000000,Studio Hire,2024-12
S019,P008,V008,3000000,Post Production,2024-12
S020,P009,V002,25000000,Studio Hire,2025-01
S021,P009,V004,30000000,VFX,2025-02
S022,P009,V003,12000000,VFX,2025-03
S023,P010,V006,8500000,Studio Hire,2025-02
S024,P010,V007,4200000,Post Production,2025-03
S025,P011,V009,9500000,Location Services,2025-04
S026,P011,V009,7200000,Location Services,2025-05
S027,P012,V010,5800000,Studio Hire,2025-05
S028,P012,V010,3200000,Studio Hire,2025-06
S029,P013,V001,11000000,Studio Hire,2025-07
S030,P013,V003,9500000,VFX,2025-08
S031,P014,V006,16000000,Studio Hire,2025-08
S032,P014,V007,7200000,Post Production,2025-09
S033,P015,V009,10000000,Location Services,2025-11
S034,P015,V009,6500000,Location Services,2025-12
