vendor_id,vendor_name,vendor_type,country,market
V001,Pinewood Studios,Studio Hire,United Kingdom,United Kingdom
V002,Warner Bros Leavesden,Studio Hire,United Kingdom,United Kingdom
V003,Framestore VFX,VFX,United Kingdom,United Kingdom
V004,Double Negative VFX,VFX,United Kingdom,United Kingdom
V005,Elstree Studios,Studio Hire,United Kingdom,United Kingdom
V006,Babelsberg Studios,Studio Hire,Germany,Germany
V007,Studio Babelsberg Post,Post Production,Germany,Germany
V008,Cinecittà Studios,Studio Hire,Italy,Italy
V009,Madrid Film Office,Location Services,Spain,Spain
V010,Studio de France,Studio Hire,France,France
